title,price,address,latitude,longitude,area,commercial_type,purpose,url
"Аренда в Доме торговли, г.Байкальск, 300 м²",750,,51.522272,104.148105,130.0,other,rent,https://www.avito.ru/baykalsk/kommercheskaya_nedvizhimost/arenda_v_dome_torgovli_g.baykalsk_300_m_7891507868?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRTnhtbEFKOGh6bVlkR0xKIjt9e131az8AAAA
Торговая площадь в центре Байкальска 180 м кв,135000,,51.522294,104.147009,180.0,retail,unknown,https://www.avito.ru/baykalsk/kommercheskaya_nedvizhimost/torgovaya_ploschad_v_tsentre_baykalska_180_m_kv_2004734490?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRTnhtbEFKOGh6bVlkR0xKIjt9e131az8AAAA
Свободного назначения,14000,,51.522892,104.1544113,12.0,free,unknown,https://www.avito.ru/baykalsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7784172759?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRTnhtbEFKOGh6bVlkR0xKIjt9e131az8AAAA
Помещение 135 м² с входом с улицы в ТЦ «Универсам»,1100,,51.52253342,104.1472702,135.0,other,unknown,https://www.avito.ru/baykalsk/kommercheskaya_nedvizhimost/pomeschenie_135_m_s_vhodom_s_ulitsy_v_tts_universam_7891728759?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRTnhtbEFKOGh6bVlkR0xKIjt9e131az8AAAA
"Гостиница, 400 м²",45000000,,51.523852,104.145365,400.0,other,unknown,https://www.avito.ru/baykalsk/kommercheskaya_nedvizhimost/gostinitsa_400_m_7706352504?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDSWd4YzVUM2RpTXRJck5HIjt9lMrObD8AAAA
Свободного назначения,25000000,,51.51985663732607,104.1358841876502,525.0,free,unknown,https://www.avito.ru/baykalsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7806812860?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDSWd4YzVUM2RpTXRJck5HIjt9lMrObD8AAAA
"Продам здание, 256.8 м²",15500000,,51.546726,104.05689,256.8,other,sale,https://www.avito.ru/baykalsk/kommercheskaya_nedvizhimost/prodam_zdanie_256.8_m_8000686897?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDSWd4YzVUM2RpTXRJck5HIjt9lMrObD8AAAA
"Продается коммерческая, 3115 кв.м., 1/2 эт",280000000,,51.523454,104.15,3115.0,other,sale,https://www.avito.ru/baykalsk/kommercheskaya_nedvizhimost/prodaetsya_kommercheskaya_3115_kv.m._12_et_7724652621?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDSWd4YzVUM2RpTXRJck5HIjt9lMrObD8AAAA
"Торговая площадь, 210 м²",17000000,,51.52009317317442,104.1495301919044,210.0,retail,unknown,https://www.avito.ru/baykalsk/kommercheskaya_nedvizhimost/torgovaya_ploschad_210_m_4078385608?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDSWd4YzVUM2RpTXRJck5HIjt9lMrObD8AAAA
"Готовый бизнес, 600 кв.м",49500000,,51.534806,104.050431,600.0,other,unknown,https://www.avito.ru/baykalsk/kommercheskaya_nedvizhimost/gotovyy_biznes_600_kv.m_7598585870?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDSWd4YzVUM2RpTXRJck5HIjt9lMrObD8AAAA
Свободного назначения,6900000,,51.51755905,104.1518936,70.0,free,unknown,https://www.avito.ru/baykalsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7756591137?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDSWd4YzVUM2RpTXRJck5HIjt9lMrObD8AAAA
Продается придорожное кафе,25000000,,51.498011,104.212388,125.9,cafe,sale,https://www.avito.ru/baykalsk/kommercheskaya_nedvizhimost/prodaetsya_pridorozhnoe_kafe_7939160842?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDSWd4YzVUM2RpTXRJck5HIjt9lMrObD8AAAA
"Здание, 600 м²",20000000,,51.517889,104.125351,600.0,other,unknown,https://www.avito.ru/baykalsk/kommercheskaya_nedvizhimost/zdanie_600_m_1533921147?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDSWd4YzVUM2RpTXRJck5HIjt9lMrObD8AAAA
"Продается коммерческая, 62 кв.м., 2/2 эт",28000000,,51.510709,104.119862,62.0,other,sale,https://www.avito.ru/baykalsk/kommercheskaya_nedvizhimost/prodaetsya_kommercheskaya_62_kv.m._22_et_7532124250?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDSWd4YzVUM2RpTXRJck5HIjt9lMrObD8AAAA
"Готовый бизнес, 1000 кв.м",40000000,,51.475241,104.620484,1000.0,other,unknown,https://www.avito.ru/baykalsk/kommercheskaya_nedvizhimost/gotovyy_biznes_1000_kv.m_7406205565?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDSWd4YzVUM2RpTXRJck5HIjt9lMrObD8AAAA
Продажа здания и участка для строительства,110000000,,51.53542277488684,104.05878509789292,1014.7,other,sale,https://www.avito.ru/baykalsk/kommercheskaya_nedvizhimost/prodazha_zdaniya_i_uchastka_dlya_stroitelstva_7946102261?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDSWd4YzVUM2RpTXRJck5HIjt9lMrObD8AAAA
"Свободного назначения, 748 м²",40000000,,51.539663,104.048895,748.0,free,unknown,https://www.avito.ru/baykalsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_748_m_8044927704?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDSWd4YzVUM2RpTXRJck5HIjt9lMrObD8AAAA
"Отдельностоящее здание, 601.1 кв.м",25000000,,51.51614,104.137738,601.1,other,unknown,https://www.avito.ru/baykalsk/kommercheskaya_nedvizhimost/otdelnostoyaschee_zdanie_601.1_kv.m_7853945139?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDSWd4YzVUM2RpTXRJck5HIjt9lMrObD8AAAA
